id,name,price,latitude,longitude,room_type,neighbourhood_cleansed,number_of_reviews,availability_365,last_review
1000,Listing 0,$67.92,37.742321073814885,-122.3963528785836,Entire home/apt,Midtown,26,180,2023-08-12
1001,Listing 1,$91.16,37.77053552881034,-122.46734640303161,Private room,Harbor,13,108,2023-08-14
1002,Listing 2,$234.58,37.72064987596781,-122.38941807481672,Hotel room,Old Town,10,189,2023-12-11
1003,Listing 3,$66.86,37.729274584338015,-122.46032836231666,Shared room,Midtown,24,226,2024-04-15
1004,Listing 4,$316.00,37.72788001980785,-122.4406821718593,Shared room,Midtown,48,212,2023-08-22
1005,Listing 5,$123.55,37.81852215206608,-122.38446822789848,Entire home/apt,Riverside,21,325,2024-01-09
1006,Listing 6,$70.30,37.74669778220491,-122.37633454122876,Entire home/apt,Midtown,32,126,2023-09-08
1007,Listing 7,$65.73,37.76622602118511,-122.44300521732157,Private room,Harbor,13,337,2023-02-27
1008,Listing 8,$97.88,37.76011647870224,-122.46338113947884,Shared room,Uptown,0,149,2024-04-14
1009,Listing 9,$66.68,37.746488016649806,-122.4453372492306,Shared room,Harbor,0,102,2024-02-13
1010,Listing 10,$156.64,37.77095262936765,-122.46090905878262,Entire home/apt,Downtown,76,230,2024-03-08
1011,Listing 11,$64.84,37.758476731167455,-122.41041115716389,Hotel room,Midtown,24,314,2023-01-12
1012,Listing 12,$54.84,37.74668251899526,-122.40590382014202,Entire home/apt,Old Town,8,109,2023-09-27
1013,Listing 13,$304.38,37.79619621990521,-122.41923183253957,Entire home/apt,Harbor,18,322,2023-07-23
1014,Listing 14,$70.83,37.815349974765354,-122.37775659193818,Entire home/apt,Midtown,31,191,2024-01-07
1015,Listing 15,$121.77,37.743945231033805,-122.44591284075528,Entire home/apt,Downtown,21,35,2024-06-29
1016,Listing 16,$82.86,37.7749803593495,-122.44349433710599,Hotel room,Uptown,37,336,2023-07-25
1017,Listing 17,$112.75,37.759899229999746,-122.40283130403617,Shared room,Riverside,38,141,2023-09-11
1018,Listing 18,$91.90,37.77539215224245,-122.41115598855896,Entire home/apt,Downtown,26,191,2023-03-11
1019,Listing 19,$41.64,37.80596354002538,-122.46291426501114,Private room,Old Town,19,145,2023-05-16
1020,Listing 20,$250.50,37.760705996148594,-122.46056742035081,Hotel room,Old Town,41,110,2023-02-25
1021,Listing 21,$65.18,37.7260612674077,-122.39717864115589,Entire home/apt,Uptown,31,304,2023-05-24
1022,Listing 22,$204.52,37.80744859540706,-122.46246151116257,Entire home/apt,Downtown,40,135,2023-01-16
1023,Listing 23,$49.81,37.812636698300814,-122.38513042655858,Private room,Riverside,14,205,2024-02-15
1024,Listing 24,$45.34,37.759042175758786,-122.37734819264406,Hotel room,Old Town,25,0,2024-07-23
1025,Listing 25,$261.68,37.73547968252741,-122.44032921745054,Entire home/apt,Midtown,24,168,2023-11-18
1026,Listing 26,$55.82,37.81193871308321,-122.41688738647295,Entire home/apt,Midtown,30,250,2023-03-11
1027,Listing 27,$93.09,37.76037755513183,-122.3758403872771,Private room,Midtown,7,129,2024-03-05
1028,Listing 28,$296.85,37.78697259747699,-122.43858161372044,Shared room,Riverside,35,288,2024-04-13
1029,Listing 29,$160.55,37.81290183317056,-122.37642657125552,Entire home/apt,Riverside,11,120,2023-04-13
1030,Listing 30,$48.46,37.73324565703665,-122.43509911650355,Entire home/apt,Uptown,20,164,2024-07-10
1031,Listing 31,$124.28,37.781167776572595,-122.37127669363686,Entire home/apt,Harbor,30,130,2023-04-17
1032,Listing 32,$73.09,37.7942416683981,-122.4544552090225,Shared room,Midtown,56,220,2023-09-28
1033,Listing 33,$308.88,37.768853185214944,-122.37946635089207,Entire home/apt,Downtown,6,73,2023-02-15
1034,Listing 34,$42.35,37.81797979538289,-122.45384180237261,Hotel room,Midtown,31,168,2023-04-25
1035,Listing 35,$47.66,37.814505093904664,-122.40089803762442,Private room,Midtown,39,219,2024-07-19
1036,Listing 36,$72.36,37.75646515153273,-122.37669119894794,Entire home/apt,Old Town,26,216,2023-04-16
1037,Listing 37,$157.34,37.79801162418715,-122.3815865298549,Hotel room,Midtown,24,0,2023-08-31
1038,Listing 38,$93.04,37.80814162046634,-122.46752136381018,Shared room,Riverside,20,257,2023-09-12
1039,Listing 39,$101.09,37.735919784298076,-122.39987218118601,Hotel room,Downtown,31,150,2024-04-16
1040,Listing 40,$143.95,37.74275954874078,-122.46763355652986,Private room,Riverside,50,115,2023-10-13
1041,Listing 41,$167.62,37.784148173860764,-122.430032161564,Shared room,Downtown,54,358,2023-07-02
1042,Listing 42,$133.09,37.754568711167984,-122.39135718217963,Hotel room,Midtown,29,244,2024-08-13
1043,Listing 43,$89.51,37.74547225061386,-122.39912147161658,Entire home/apt,Midtown,41,149,2023-07-21
1044,Listing 44,$127.85,37.81207708562181,-122.40768445900537,Entire home/apt,Harbor,40,286,2024-02-23
1045,Listing 45,$143.01,37.760240038705774,-122.44043447974741,Private room,Uptown,0,302,2023-06-28
1046,Listing 46,$104.26,37.75038749492684,-122.44898173151174,Shared room,Riverside,40,73,2024-06-07
1047,Listing 47,$255.37,37.799373539910604,-122.3740167996317,Private room,Harbor,40,255,2023-12-10
1048,Listing 48,$66.95,37.78727956705572,-122.44753593340027,Private room,Uptown,2,266,2024-05-01
1049,Listing 49,$61.15,37.765541616838014,-122.3813863090949,Private room,Harbor,19,100,2023-09-07
1050,Listing 50,$74.41,37.79509644766185,-122.3929953811426,Entire home/apt,Riverside,23,231,2024-06-14
1051,Listing 51,$267.71,37.72502183851407,-122.44508017203401,Entire home/apt,Riverside,36,274,2024-06-27
1052,Listing 52,$279.79,37.80914259258105,-122.40873476772383,Hotel room,Midtown,4,150,2024-05-01
1053,Listing 53,$251.96,37.745919154846504,-122.44527602624903,Shared room,Midtown,13,206,2024-03-26
1054,Listing 54,$58.34,37.75358475366213,-122.38069731672097,Entire home/apt,Uptown,14,251,2023-06-06
1055,Listing 55,$97.98,37.72642288507139,-122.42924006303335,Hotel room,Riverside,51,264,2024-02-03
1056,Listing 56,$55.59,37.758038102892776,-122.4694103916416,Shared room,Old Town,4,203,2024-03-05
1057,Listing 57,$280.41,37.79475156689781,-122.41538676902661,Private room,Riverside,28,294,2023-01-30
1058,Listing 58,$192.23,37.76043166691377,-122.45349552687965,Hotel room,Uptown,44,310,2024-02-08
1059,Listing 59,$43.51,37.7283947462162,-122.42713872303389,Hotel room,Uptown,38,227,2023-08-05
1060,Listing 60,$242.14,37.757912621556414,-122.39479901764453,Hotel room,Old Town,47,251,2024-07-06
1061,Listing 61,$35.29,37.81999078285092,-122.43500396562798,Entire home/apt,Harbor,28,205,2023-09-11
1062,Listing 62,$97.41,37.743854494188895,-122.42264389390539,Entire home/apt,Midtown,7,295,2023-09-20
1063,Listing 63,$146.39,37.73677891433678,-122.4092752506109,Entire home/apt,Uptown,31,190,2023-01-27
1064,Listing 64,$100.58,37.757530695942535,-122.37585294014588,Private room,Downtown,9,58,2023-09-06
1065,Listing 65,$49.69,37.78971930024958,-122.43984173145124,Entire home/apt,Midtown,27,118,2024-03-14
1066,Listing 66,$163.11,37.72126521501659,-122.42799412591582,Hotel room,Downtown,34,121,2024-04-15
1067,Listing 67,$78.85,37.76354871450077,-122.39662046959866,Shared room,Midtown,31,95,2024-05-10
1068,Listing 68,$235.10,37.746839553804925,-122.38482868399807,Entire home/apt,Old Town,34,249,2024-04-20
1069,Listing 69,$194.94,37.75363966198914,-122.42056934963841,Shared room,Uptown,10,206,2023-09-22
1070,Listing 70,$147.51,37.808010734525524,-122.41442089720805,Private room,Downtown,44,204,2024-07-22
1071,Listing 71,$100.20,37.789060933944654,-122.4054097100259,Hotel room,Riverside,26,161,2023-08-15
1072,Listing 72,$196.94,37.77815555853324,-122.42267395112405,Shared room,Riverside,13,313,2023-12-27
1073,Listing 73,$249.73,37.747091642697626,-122.4448596323799,Entire home/apt,Harbor,27,242,2024-07-02
1074,Listing 74,$80.88,37.74764996269687,-122.41104130940393,Shared room,Downtown,47,237,2024-01-05
1075,Listing 75,$67.72,37.75022675887805,-122.3991981514289,Private room,Old Town,29,208,2023-10-27
1076,Listing 76,$64.17,37.73025876467878,-122.46877345966246,Shared room,Riverside,5,118,2023-02-22
1077,Listing 77,$121.22,37.81410635967681,-122.42222708127343,Entire home/apt,Riverside,5,206,2023-02-24
1078,Listing 78,$82.61,37.75038355118423,-122.37060818772898,Entire home/apt,Midtown,40,211,2023-08-20
1079,Listing 79,$286.40,37.75803780261466,-122.37914956223761,Shared room,Midtown,37,195,2023-03-03
1080,Listing 80,$66.46,37.74110251953054,-122.40395718628079,Private room,Uptown,21,216,2023-01-03
1081,Listing 81,$203.51,37.76505037046177,-122.41061888048804,Shared room,Downtown,27,340,2024-04-09
1082,Listing 82,$51.30,37.798782802664675,-122.40749419928358,Private room,Riverside,0,248,2023-06-02
1083,Listing 83,$124.71,37.80266311596501,-122.46285901631443,Private room,Old Town,1,105,2023-10-23
1084,Listing 84,$260.85,37.78997336849758,-122.3757323759256,Hotel room,Riverside,41,222,2024-03-18
1085,Listing 85,$151.38,37.78037136409459,-122.46741351076116,Private room,Harbor,35,98,2023-01-22
1086,Listing 86,$104.94,37.7375190727938,-122.41810361590125,Hotel room,Old Town,13,249,2024-05-18
1087,Listing 87,$72.06,37.76700103949604,-122.429165190657,Shared room,Harbor,32,232,2024-02-26
1088,Listing 88,$244.27,37.8013566034738,-122.41499033910283,Hotel room,Downtown,60,168,2024-02-18
1089,Listing 89,$308.12,37.802492720326875,-122.46988489325518,Hotel room,Riverside,42,236,2024-05-25
1090,Listing 90,$250.42,37.77492196390854,-122.37723272391555,Hotel room,Harbor,14,178,2023-09-03
1091,Listing 91,$75.23,37.75107501383933,-122.46863255355339,Hotel room,Downtown,29,365,2023-04-27
1092,Listing 92,$263.65,37.73539711244283,-122.37673469400659,Shared room,Midtown,17,174,2024-05-09
1093,Listing 93,$240.04,37.74437309060752,-122.41487349231195,Hotel room,Uptown,40,149,2023-05-20
1094,Listing 94,$57.10,37.76149424235514,-122.37657516063175,Shared room,Downtown,51,184,2024-08-16
1095,Listing 95,$258.24,37.80652605947003,-122.42534526069568,Hotel room,Old Town,12,332,2024-01-22
1096,Listing 96,$268.41,37.818077463133264,-122.44611944558338,Hotel room,Uptown,12,257,2023-11-22
1097,Listing 97,$241.91,37.7905227881025,-122.38885910974352,Hotel room,Harbor,30,73,2023-06-05
1098,Listing 98,$255.07,37.81653535901769,-122.43680052960687,Entire home/apt,Riverside,23,360,2023-01-16
1099,Listing 99,$87.88,37.76099786197464,-122.40452186735723,Private room,Downtown,0,245,2023-12-13
1100,Listing 100,$188.50,37.80523413365659,-122.38406578158317,Hotel room,Old Town,1,68,2024-05-14
1101,Listing 101,$285.05,37.72358990998377,-122.46315792528185,Shared room,Uptown,24,104,2023-04-11
1102,Listing 102,$45.56,37.81034240620505,-122.46540090313228,Entire home/apt,Old Town,32,139,2023-09-08
1103,Listing 103,$308.24,37.76120517489756,-122.40181996286474,Private room,Uptown,34,309,2024-01-27
1104,Listing 104,$76.77,37.74321884442952,-122.40620953689964,Hotel room,Old Town,25,103,2024-04-21
1105,Listing 105,$101.45,37.78776108856991,-122.45420243779283,Hotel room,Old Town,37,194,2024-03-10
1106,Listing 106,$111.83,37.81993735655002,-122.38466645413398,Entire home/apt,Uptown,28,137,2023-10-30
1107,Listing 107,$126.40,37.72219395978596,-122.38699624385072,Hotel room,Old Town,54,209,2023-02-20
1108,Listing 108,$260.74,37.79757409796034,-122.44698816090296,Shared room,Uptown,0,118,2023-05-21
1109,Listing 109,$49.46,37.8103403704073,-122.40536593911095,Shared room,Riverside,38,217,2023-05-15
1110,Listing 110,$67.50,37.76155030934188,-122.44992052053499,Shared room,Midtown,17,128,2023-06-18
1111,Listing 111,$119.91,37.81140489535383,-122.37558121839028,Shared room,Harbor,43,81,2024-04-24
1112,Listing 112,$76.52,37.806014059689886,-122.39757832879245,Hotel room,Midtown,55,94,2023-01-15
1113,Listing 113,$133.21,37.773657230826906,-122.42452139722661,Shared room,Midtown,9,287,2024-01-16
1114,Listing 114,$54.86,37.78195468670446,-122.37568308639422,Shared room,Midtown,9,205,2024-04-20
1115,Listing 115,$123.56,37.78492394462846,-122.4583324063273,Entire home/apt,Downtown,19,298,2023-04-10
1116,Listing 116,$94.10,37.76536437568889,-122.40295137811499,Hotel room,Midtown,19,197,2024-02-29
1117,Listing 117,$54.21,37.803369308329636,-122.40843477859488,Shared room,Downtown,21,141,2024-03-31
1118,Listing 118,$92.81,37.788568026548134,-122.41555341385178,Shared room,Downtown,19,153,2023-05-06
1119,Listing 119,$253.87,37.72916734238176,-122.44878941845766,Entire home/apt,Downtown,27,134,2023-05-09
1120,Listing 120,$105.47,37.74071573703467,-122.44840486480814,Private room,Old Town,35,224,2023-01-03
1121,Listing 121,$102.58,37.80584061263802,-122.45553120196796,Private room,Midtown,24,255,2023-01-27
1122,Listing 122,$92.59,37.74379316060905,-122.4376228538038,Private room,Old Town,27,340,2024-06-22
1123,Listing 123,$65.32,37.794566527503406,-122.42237540345768,Shared room,Midtown,11,145,2023-08-15
1124,Listing 124,$41.88,37.785890307367936,-122.4398369670972,Entire home/apt,Downtown,0,365,2024-03-12
1125,Listing 125,$59.83,37.769026885414426,-122.37902991708847,Entire home/apt,Downtown,21,245,2023-05-10
1126,Listing 126,$110.58,37.791215279642635,-122.43190956011814,Shared room,Riverside,10,104,2023-04-28
1127,Listing 127,$299.63,37.79208399166576,-122.44849769336726,Hotel room,Uptown,0,286,2024-02-13
1128,Listing 128,$198.89,37.75125235711419,-122.44451102035173,Private room,Harbor,12,229,2023-03-29
1129,Listing 129,$58.27,37.763187651855176,-122.39554110308082,Shared room,Uptown,6,158,2024-07-29
1130,Listing 130,$297.55,37.75535980796338,-122.4034659479997,Hotel room,Harbor,31,270,2023-11-16
1131,Listing 131,$152.62,37.73036005659247,-122.4192587453032,Private room,Harbor,0,219,2023-12-25
1132,Listing 132,$288.58,37.77741000043315,-122.38927786288477,Entire home/apt,Midtown,43,352,2023-10-01
1133,Listing 133,$36.89,37.73804160719609,-122.39973012271344,Shared room,Old Town,19,245,2023-05-27
1134,Listing 134,$214.89,37.817181031875805,-122.46082423169456,Private room,Riverside,35,128,2024-01-14
